time, rftn-201A08R29, rftn-201A44R29, rftn-201A73R29, rftn-201A108R29, rftn-201A163R29, rftn-201A229R29, rftn-201A273R29, rftn-201A309R29
(s), (K), (K), (K), (K), (K), (K), (K), (K)
0.0, 550.9308471679688, 603.343017578125, 704.15869140625, 838.9856567382812, 854.0277099609375, 771.7999877929688, 649.6582641601562, 582.0349731445312
0.10373413562774658, 463.2693176269531, 553.8212890625, 697.6672973632812, 838.3671875, 853.7664184570312, 772.0769653320312, 650.06591796875, 582.3599853515625
0.20603495836257935, 449.1396179199219, 498.47607421875, 663.2802124023438, 836.0603637695312, 852.2055053710938, 771.1318969726562, 641.8211669921875, 576.624267578125
0.30843502283096313, 441.6915283203125, 514.9481811523438, 664.6153564453125, 833.1972045898438, 849.6329956054688, 766.8260498046875, 595.4824829101562, 545.2084350585938
0.4090045392513275, 434.77313232421875, 522.7861328125, 667.6060180664062, 831.8716430664062, 848.665283203125, 766.758056640625, 591.2175903320312, 537.962646484375
0.5173681974411011, 423.21697998046875, 527.7659301757812, 669.2033081054688, 830.16943359375, 847.5069580078125, 767.4423217773438, 600.7841186523438, 545.0271606445312
0.6176936030387878, 418.06304931640625, 528.1632080078125, 670.2545166015625, 829.1804809570312, 847.131591796875, 768.2007446289062, 605.974609375, 548.7600708007812
0.7183680534362793, 418.39697265625, 530.1497802734375, 671.557861328125, 829.1485595703125, 847.5550537109375, 769.0932006835938, 609.6640014648438, 551.3190307617188
0.8197470307350159, 417.5578918457031, 533.1212768554688, 672.84326171875, 829.3953247070312, 848.0817260742188, 769.8574829101562, 612.4386596679688, 553.2837524414062
0.9214017987251282, 416.35540771484375, 535.375732421875, 673.792724609375, 829.51123046875, 848.441162109375, 770.5263061523438, 614.7937622070312, 555.0009765625
1.0237839221954346, 415.26043701171875, 536.5906372070312, 674.5255737304688, 829.5051879882812, 848.6736450195312, 771.1008911132812, 616.883544921875, 556.5640258789062
1.1253479719161987, 412.5964050292969, 536.9310913085938, 675.1956787109375, 829.5252685546875, 848.8967895507812, 771.61962890625, 618.71630859375, 557.943359375
1.2256832122802734, 413.4598693847656, 536.9035034179688, 675.708251953125, 829.4310302734375, 849.02490234375, 772.0896606445312, 620.4144897460938, 559.2489013671875
1.328076720237732, 414.1709899902344, 537.9981079101562, 676.3975219726562, 829.6040649414062, 849.3392333984375, 772.5870971679688, 621.855712890625, 560.3294677734375
1.4295883178710938, 414.7305603027344, 539.2990112304688, 677.1128540039062, 829.8945922851562, 849.8091430664062, 773.1172485351562, 623.1008911132812, 561.2607421875
1.5329571962356567, 415.3241882324219, 540.6991577148438, 677.7552490234375, 830.1541748046875, 850.254150390625, 773.6422729492188, 624.2723999023438, 562.1549682617188
1.6403169631958008, 415.4147033691406, 542.122802734375, 678.3898315429688, 830.5195922851562, 850.8026733398438, 774.176513671875, 625.3526611328125, 562.9833984375
1.7481226921081543, 415.01434326171875, 543.4190063476562, 679.0381469726562, 831.0112915039062, 851.4547729492188, 774.730224609375, 626.321044921875, 563.722900390625
1.8512886762619019, 414.59063720703125, 544.601318359375, 679.77685546875, 831.68212890625, 852.1497192382812, 775.2498168945312, 627.1317749023438, 564.3366088867188
1.9522430896759033, 414.2288513183594, 545.6970825195312, 680.5648803710938, 832.4147338867188, 852.8346557617188, 775.7257690429688, 627.8484497070312, 564.78955078125
2.056255578994751, 413.9196472167969, 546.7090454101562, 681.3463134765625, 833.1378173828125, 853.5252075195312, 776.2081909179688, 628.5477294921875, 564.9104614257812
2.1611032485961914, 413.6044921875, 547.6078491210938, 682.1080322265625, 833.8534545898438, 854.2094116210938, 776.695556640625, 629.2048950195312, 564.9193115234375
2.2623114585876465, 413.46044921875, 548.4519653320312, 682.8284912109375, 834.5277099609375, 854.8536376953125, 777.1624145507812, 629.7929077148438, 565.0847778320312
2.3697376251220703, 413.50982666015625, 549.3138427734375, 683.5528564453125, 835.21142578125, 855.5084838867188, 777.6128540039062, 630.3681640625, 565.3749389648438
2.470796823501587, 413.51483154296875, 550.0950317382812, 684.2083129882812, 835.8400268554688, 856.10205078125, 777.9231567382812, 630.8746337890625, 565.7164306640625
2.5730323791503906, 413.4139709472656, 550.82958984375, 684.8369140625, 836.4537353515625, 856.669921875, 778.0964965820312, 631.36474609375, 566.0945434570312
2.6830368041992188, 413.2659912109375, 551.5609741210938, 685.4808349609375, 837.0927124023438, 857.2015991210938, 778.1961669921875, 631.8960571289062, 566.474365234375
2.7990283966064453, 413.1361083984375, 552.2673950195312, 686.1204833984375, 837.72900390625, 857.5195922851562, 778.2821655273438, 632.4622802734375, 566.8601684570312
2.9144444465637207, 413.0762634277344, 552.947265625, 686.740234375, 838.3206787109375, 857.57861328125, 778.4509887695312, 633.00927734375, 567.22119140625
3.021507978439331, 413.0784912109375, 553.5101318359375, 687.2176513671875, 838.69189453125, 857.5988159179688, 778.8042602539062, 633.549560546875, 567.61083984375
3.127840042114258, 413.0914611816406, 553.9517211914062, 687.5535888671875, 838.8121337890625, 857.6744995117188, 779.2202758789062, 634.1088256835938, 568.0949096679688
3.2289206981658936, 413.10498046875, 554.272216796875, 687.6926879882812, 838.6898803710938, 857.7122192382812, 779.5599365234375, 634.659423828125, 568.6118774414062
