time, pn-10A04R02T01, pn-10A12R02T01, pn-10A22R02T01, pn-10A35R02T01, pn-10A49R02T01, pn-10A58R02T01
(s), (Pa), (Pa), (Pa), (Pa), (Pa), (Pa)
0.0, 300412.5, 300345.1875, 300263.40625, 300207.59375, 300150.40625, 300083.1875
0.10373413562774658, 439680.125, 384837.59375, 317632.25, 305042.3125, 303279.5, 301865.8125
0.20603495836257935, 862463.6875, 858519.625, 820601.25, 700417.3125, 538952.8125, 404886.46875
0.30843502283096313, 644421.0625, 643993.875, 642211.625, 637422.875, 625924.4375, 566775.9375
0.4090045392513275, 387589.46875, 384619.03125, 378316.75, 367837.0625, 355412.15625, 338819.03125
0.5173681974411011, 339216.96875, 336538.15625, 330553.4375, 322657.125, 315412.84375, 309447.6875
0.6176936030387878, 318404.46875, 317793.375, 315501.125, 311812.5625, 308067.84375, 304850.40625
0.7183680534362793, 307082.8125, 306869.71875, 306001.65625, 304512.1875, 303041.6875, 301761.59375
0.8197470307350159, 305069.59375, 304880.125, 304209.90625, 303146.6875, 302137.59375, 301243.84375
0.9214017987251282, 305572.65625, 305357.3125, 304637.34375, 303499.875, 302402.9375, 301425.15625
1.0237839221954346, 306024.875, 305796.3125, 305083.53125, 303934.3125, 302815.4375, 301816.1875
1.1253479719161987, 307540.25, 306855.78125, 305793.125, 304373.28125, 303035.8125, 301822.46875
1.2256832122802734, 305838.875, 305461.28125, 304720.4375, 303572.71875, 302462.4375, 301470.65625
1.328076720237732, 302910.65625, 302763.90625, 302445.75, 301900.1875, 301374.34375, 300899.5
1.4295883178710938, 303221.34375, 303039.0625, 302623.75, 301989.9375, 301401.0, 300871.0
1.5329571962356567, 302468.5625, 302335.3125, 302028.9375, 301550.9375, 301107.9375, 300703.21875
1.6403169631958008, 301658.46875, 301564.0625, 301355.34375, 301035.625, 300755.4375, 300479.5625
1.7481226921081543, 300845.59375, 300813.625, 300720.40625, 300550.34375, 300412.34375, 300289.0
1.8512886762619019, 300659.21875, 300635.96875, 300577.21875, 300481.75, 300403.65625, 300336.8125
1.9522430896759033, 301969.125, 301938.28125, 301873.53125, 301793.25, 301718.0625, 301653.5625
2.056255578994751, 301360.65625, 301345.4375, 301306.28125, 301249.03125, 301197.1875, 301151.84375
2.1611032485961914, 301375.15625, 301361.125, 301328.5, 301283.875, 301242.59375, 301198.6875
2.2623114585876465, 301202.78125, 301185.65625, 301150.40625, 301108.40625, 301063.96875, 300996.6875
2.3697376251220703, 300661.375, 300648.125, 300620.4375, 300585.84375, 300543.40625, 300462.15625
2.470796823501587, 300555.625, 300541.8125, 300513.6875, 300481.21875, 300427.1875, 300333.78125
2.5730323791503906, 300673.5, 300661.21875, 300635.875, 300606.65625, 300536.0625, 300431.25
2.6830368041992188, 301061.75, 301049.03125, 301022.59375, 300993.5625, 300895.125, 300810.0625
2.7990283966064453, 300894.78125, 300882.125, 300857.78125, 300830.0625, 300712.625, 300645.53125
2.9144444465637207, 300778.6875, 300770.4375, 300753.8125, 300730.625, 300608.78125, 300553.625
3.021507978439331, 301566.78125, 301546.96875, 301472.96875, 301366.21875, 300932.25, 300785.4375
